Channel1_Signal,Channel1_Noise,Channel2_Signal,Channel2_Noise,Notes
" Point 1 Time: 3.242795 Frequency:  43.56 Hz, Directions: 125.66 degrees "," Point 1 Time: 1.261717 Frequency:  48.58 Hz, Directions:  84.12 degrees "," Point 1 Time: 3.927613 Frequency:  43.34 Hz, Directions: 118.84 degrees "," Point 1 Time: 1.481837 Frequency:  48.14 Hz, Directions: 164.43 degrees ",
" Point 2 Time: 5.517367 Frequency:  44.21 Hz, Directions: 128.66 degrees "," Point 2 Time: 1.824246 Frequency:  48.58 Hz, Directions: 219.06 degrees "," Point 2 Time: 5.859775 Frequency:  43.56 Hz, Directions: 152.61 degrees "," Point 2 Time: 2.093281 Frequency:  47.93 Hz, Directions:  14.61 degrees ",
" Point 3 Time: 7.229409 Frequency:  42.47 Hz, Directions: 144.20 degrees "," Point 3 Time: 1.310633 Frequency:  44.21 Hz, Directions: 232.68 degrees "," Point 3 Time: 7.791938 Frequency:  43.12 Hz, Directions: 128.19 degrees "," Point 3 Time: 1.286175 Frequency:  44.65 Hz, Directions:  71.31 degrees ",
" Point 4 Time: 8.305551 Frequency:  42.90 Hz, Directions: 137.52 degrees "," Point 4 Time: 1.799788 Frequency:  43.78 Hz, Directions: 124.27 degrees "," Point 4 Time: 9.088199 Frequency:  42.47 Hz, Directions: 118.47 degrees "," Point 4 Time: 1.848703 Frequency:  44.43 Hz, Directions:  43.17 degrees ",
," Point 5 Time: 1.212802 Frequency:  38.97 Hz, Directions:   3.17 degrees ",," Point 5 Time: 1.212802 Frequency:  38.10 Hz, Directions:  93.83 degrees ",
 Absolute time at min time: 08-Aug-2014 03:35:34," Point 6 Time: 1.677499 Frequency:  38.54 Hz, Directions: 333.09 degrees ", Absolute time at min time: 08-Aug-2014 03:35:34 ," Point 6 Time: 1.970992 Frequency:  38.32 Hz, Directions:  21.17 degrees ","weaker call, not seen well on azi"
" Point 1 Time: 5.492909 Frequency:  43.56 Hz, Directions: 178.37 degrees ",," Point 1 Time: 5.077127 Frequency:  42.90 Hz, Directions: 129.37 degrees ",,
" Point 2 Time: 5.982064 Frequency:  43.12 Hz, Directions:  42.95 degrees ", Absolute time at min time: 08-Aug-2014 03:35:32," Point 2 Time: 6.275557 Frequency:  43.12 Hz, Directions:  77.25 degrees ", Absolute time at min time: 08-Aug-2014 03:35:32,
" Point 3 Time: 6.813628 Frequency:  43.12 Hz, Directions:  65.54 degrees "," Point 1 Time: 18.920216 Frequency:  47.27 Hz, Directions:  21.49 degrees "," Point 3 Time: 7.229409 Frequency:  42.69 Hz, Directions:  77.03 degrees "," Point 1 Time: 19.874069 Frequency:  47.93 Hz, Directions:  16.22 degrees ",
," Point 2 Time: 20.020815 Frequency:  47.05 Hz, Directions:  72.08 degrees ",," Point 2 Time: 20.827921 Frequency:  47.93 Hz, Directions:  46.33 degrees ",
 Absolute time at min time: 08-Aug-2014 03:36:03," Point 3 Time: 18.871301 Frequency:  41.38 Hz, Directions:  38.80 degrees ", Absolute time at min time: 08-Aug-2014 03:36:03," Point 3 Time: 19.971900 Frequency:  41.81 Hz, Directions:  64.98 degrees ",
" Point 1 Time: 2.998218 Frequency:  43.56 Hz, Directions:  97.70 degrees "," Point 4 Time: 19.702864 Frequency:  40.72 Hz, Directions:  65.37 degrees "," Point 1 Time: 3.462915 Frequency:  43.12 Hz, Directions: 129.15 degrees "," Point 4 Time: 20.632259 Frequency:  41.16 Hz, Directions: 106.32 degrees ",
" Point 2 Time: 5.297247 Frequency:  42.69 Hz, Directions: 121.44 degrees "," Point 5 Time: 18.797927 Frequency:  36.57 Hz, Directions:  33.94 degrees "," Point 2 Time: 5.566282 Frequency:  43.12 Hz, Directions: 140.69 degrees "," Point 5 Time: 19.702864 Frequency:  37.01 Hz, Directions:  44.24 degrees ",
" Point 3 Time: 7.547360 Frequency:  41.59 Hz, Directions: 132.52 degrees "," Point 6 Time: 19.629491 Frequency:  36.79 Hz, Directions:  64.37 degrees "," Point 3 Time: 7.571818 Frequency:  42.47 Hz, Directions: 128.34 degrees "," Point 6 Time: 20.583343 Frequency:  36.79 Hz, Directions:  38.77 degrees ",
" Point 4 Time: 9.993136 Frequency:  42.03 Hz, Directions: 100.79 degrees ",," Point 4 Time: 10.017593 Frequency:  41.81 Hz, Directions: 138.64 degrees ",,
, Absolute time at min time: 08-Aug-2014 03:35:49,, Absolute time at min time: 08-Aug-2014 03:35:50,
 Absolute time at min time: 08-Aug-2014 03:43:51," Point 1 Time: 3.291711 Frequency:  48.14 Hz, Directions: 190.80 degrees ", Absolute time at min time: 08-Aug-2014 03:43:52," Point 1 Time: 3.316169 Frequency:  47.27 Hz, Directions:   9.25 degrees ",
" Point 1 Time: 2.484605 Frequency:  42.90 Hz, Directions: 128.23 degrees "," Point 2 Time: 4.318937 Frequency:  48.14 Hz, Directions:  96.05 degrees "," Point 1 Time: 1.946534 Frequency:  41.38 Hz, Directions: 165.34 degrees "," Point 2 Time: 4.196648 Frequency:  47.27 Hz, Directions:  35.50 degrees ",
" Point 2 Time: 4.367852 Frequency:  42.47 Hz, Directions:  79.29 degrees "," Point 3 Time: 3.536288 Frequency:  42.90 Hz, Directions:  72.64 degrees "," Point 2 Time: 4.318937 Frequency:  42.03 Hz, Directions:  82.99 degrees "," Point 3 Time: 3.536288 Frequency:  40.72 Hz, Directions: 239.91 degrees ",
" Point 3 Time: 6.324472 Frequency:  41.38 Hz, Directions: 107.11 degrees "," Point 4 Time: 4.539056 Frequency:  42.69 Hz, Directions:  64.80 degrees "," Point 3 Time: 6.520135 Frequency:  40.94 Hz, Directions: 147.96 degrees "," Point 4 Time: 4.245563 Frequency:  40.94 Hz, Directions:  98.65 degrees ",
," Point 5 Time: 3.511831 Frequency:  35.48 Hz, Directions: 220.82 degrees ",," Point 5 Time: 3.536288 Frequency:  36.35 Hz, Directions: 260.21 degrees ",
 Absolute time at min time: 08-Aug-2014 03:46:16 ," Point 6 Time: 4.661345 Frequency:  35.48 Hz, Directions: 354.84 degrees ", Absolute time at min time: 08-Aug-2014 03:46:15," Point 6 Time: 4.514599 Frequency:  36.35 Hz, Directions:  36.25 degrees ",
" Point 1 Time: 3.365084 Frequency:  42.47 Hz, Directions: 121.41 degrees ",," Point 1 Time: 3.462915 Frequency:  43.34 Hz, Directions: 137.37 degrees ",,
" Point 2 Time: 5.101585 Frequency:  41.81 Hz, Directions:  98.57 degrees ", Absolute time at min time: 08-Aug-2014 03:36:01," Point 2 Time: 5.957606 Frequency:  42.69 Hz, Directions: 114.41 degrees ", Absolute time at min time: 08-Aug-2014 03:36:01,
" Point 3 Time: 7.131578 Frequency:  42.90 Hz, Directions:  97.96 degrees "," Point 1 Time: 10.922530 Frequency:  48.58 Hz, Directions: 228.80 degrees "," Point 3 Time: 8.403382 Frequency:  42.25 Hz, Directions: 137.51 degrees "," Point 1 Time: 10.457833 Frequency:  47.71 Hz, Directions: 105.66 degrees ",
," Point 2 Time: 11.754094 Frequency:  48.58 Hz, Directions:  36.11 degrees "," Point 4 Time: 10.384460 Frequency:  42.03 Hz, Directions: 117.20 degrees "," Point 2 Time: 11.533974 Frequency:  46.83 Hz, Directions:  29.33 degrees ",
 Absolute time at min time: 08-Aug-2014 03:46:17," Point 3 Time: 11.191566 Frequency:  42.25 Hz, Directions:  31.38 degrees "," Point 5 Time: 12.169876 Frequency:  42.25 Hz, Directions: 149.95 degrees "," Point 3 Time: 10.653495 Frequency:  40.94 Hz, Directions:  49.87 degrees ",
" Point 1 Time: 2.240027 Frequency:  42.90 Hz, Directions: 109.35 degrees "," Point 4 Time: 11.925298 Frequency:  42.25 Hz, Directions: 180.17 degrees ",," Point 4 Time: 11.656263 Frequency:  40.94 Hz, Directions: 312.55 degrees ",
" Point 2 Time: 4.000986 Frequency:  43.12 Hz, Directions: 136.09 degrees "," Point 5 Time: 10.726868 Frequency:  36.57 Hz, Directions:  47.27 degrees ", Absolute time at min time: 08-Aug-2014 03:47:06," Point 5 Time: 10.726868 Frequency:  35.92 Hz, Directions: 176.72 degrees ",
" Point 3 Time: 6.348930 Frequency:  42.25 Hz, Directions: 110.55 degrees "," Point 6 Time: 11.900841 Frequency:  36.79 Hz, Directions: 267.23 degrees "," Point 1 Time: 3.927613 Frequency:  43.78 Hz, Directions: 139.34 degrees "," Point 6 Time: 11.509516 Frequency:  36.14 Hz, Directions:   4.84 degrees ",
" Point 4 Time: 8.647959 Frequency:  41.16 Hz, Directions: 151.51 degrees ",," Point 2 Time: 6.275557 Frequency:  43.56 Hz, Directions: 125.50 degrees ",,
" Point 5 Time: 10.629037 Frequency:  41.38 Hz, Directions: 124.48 degrees ", Absolute time at min time: 08-Aug-2014 03:36:08," Point 3 Time: 8.501213 Frequency:  42.47 Hz, Directions: 120.22 degrees ", Absolute time at min time: 08-Aug-2014 03:36:08,
" Point 6 Time: 11.900841 Frequency:  42.03 Hz, Directions: 130.25 degrees "," Point 1 Time: 0.674731 Frequency:  47.27 Hz, Directions:   5.43 degrees "," Point 4 Time: 10.653495 Frequency:  41.81 Hz, Directions: 111.67 degrees "," Point 1 Time: 0.674731 Frequency:  48.58 Hz, Directions:  54.35 degrees ",
," Point 2 Time: 1.286175 Frequency:  46.83 Hz, Directions:  21.91 degrees ",," Point 2 Time: 1.506295 Frequency:  48.58 Hz, Directions:  83.37 degrees ",
 Absolute time at min time: 08-Aug-2014 03:47:06 ," Point 3 Time: 0.748104 Frequency:  42.90 Hz, Directions: 110.53 degrees ", Absolute time at min time: 08-Aug-2014 03:49:30," Point 3 Time: 0.748104 Frequency:  44.00 Hz, Directions:  30.11 degrees ",
" Point 1 Time: 2.949302 Frequency:  42.69 Hz, Directions: 121.56 degrees "," Point 4 Time: 1.481837 Frequency:  42.69 Hz, Directions: 180.11 degrees "," Point 1 Time: 4.196648 Frequency:  43.78 Hz, Directions: 131.55 degrees "," Point 4 Time: 1.750872 Frequency:  43.78 Hz, Directions:  82.62 degrees ",
" Point 2 Time: 5.077127 Frequency:  42.69 Hz, Directions: 112.96 degrees "," Point 5 Time: 0.723647 Frequency:  37.23 Hz, Directions:  32.25 degrees "," Point 2 Time: 6.079895 Frequency:  43.12 Hz, Directions: 107.49 degrees "," Point 5 Time: 0.797020 Frequency:  37.45 Hz, Directions:  15.80 degrees ",
" Point 3 Time: 6.935916 Frequency:  43.34 Hz, Directions: 131.02 degrees "," Point 6 Time: 1.628584 Frequency:  37.01 Hz, Directions: 203.71 degrees "," Point 3 Time: 8.819163 Frequency:  41.81 Hz, Directions: 127.97 degrees "," Point 6 Time: 1.726415 Frequency:  37.45 Hz, Directions: 170.05 degrees ",
